game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
131,1531,21,True,r2qr1k1/ppp2ppp/8/8/4P3/PPp2bPP/2P2PB1/R3R1K1 w - - 0 20,g2f3,g2f3,g2f3,g2f3,e1e2,e1e2,e1e2,e1e2,e1e2,e1e2,0.8151497,0.8050051,0.7972071,0.7782948,0.76129246,0.7342353,21,21,20,19,19,17,0,0
131,1531,25,True,r3r1k1/ppp2ppp/8/8/4P3/PPp2BPP/2Pq1P2/R3R1K1 w - - 1 21,a1c1,a1d1,a1c1,e4e5,g1f1,f3g2,f3g2,f3g2,f3g2,f3g2,0.8052986,0.8209398,0.83995944,0.85374063,0.8678744,0.8759567,12,12,12,13,14,14,0,0
131,1531,22,True,3rr1k1/ppp2ppp/8/8/4P3/PPp2BPP/2Pq1P2/2R1R1K1 w - - 3 22,e1d1,c1d1,e4e5,c1d1,e1d1,e1d1,e1d1,e1d1,e1d1,e1d1,0.88624364,0.8902022,0.8969474,0.90099883,0.90605205,0.9121479,1,1,1,1,1,1,1,1
131,1531,25,True,3rr1k1/ppp2ppp/8/6q1/4P3/PPp2BPP/2P2P2/2RR2K1 w - - 5 23,d1d8,d1d8,g1g2,g1g2,d1d2,d1d2,d1d2,d1d2,d1d2,d1d2,0.818492,0.8269232,0.8344333,0.846358,0.8532316,0.86282915,9,9,7,3,3,2,1,1
131,1531,20,True,3r2k1/ppp2ppp/8/6q1/4P3/PPp2BPP/2P2P2/2R3K1 w - - 0 24,c1e1,c1d1,c1e1,c1e1,c1d1,c1d1,c1d1,c1d1,c1d1,c1d1,0.9105207,0.9161793,0.9231931,0.9292492,0.9340553,0.9440703,2,2,2,2,2,2,1,1
131,1531,22,True,3r2k1/ppp2ppp/8/8/4P3/PPp2BPP/2Pq1P2/4R1K1 w - - 2 25,e1e2,e1e2,e1e2,e1d1,e1d1,e1d1,e1d1,e1d1,e1d1,e1d1,0.747587,0.7632056,0.7855915,0.80996335,0.81600183,0.83178216,4,4,4,4,4,4,0,1
131,1531,3,True,3r2k1/ppp2ppp/8/8/4P3/PPp2BPP/2P1RP2/2q3K1 w - - 4 26,g1g2,g1g2,g1g2,g1g2,e2e1,e2e1,e2e1,g1h2,g1h2,g1h2,0.81355846,0.8150273,0.816268,0.8233736,0.8326742,0.8493695,3,3,3,3,2,2,1,1
131,1531,13,True,3r2k1/ppp2ppp/8/8/4P3/qPp2BPP/2P1RPK1/8 w - - 0 27,e4e5,e2e3,e2e3,e4e5,e2e1,e2e1,e2e1,e2e1,e2e1,e2e1,0.8423868,0.8489902,0.865813,0.8807401,0.88915324,0.90064853,13,13,13,12,12,11,0,0
131,1531,18,True,6k1/ppp2ppp/8/4P3/8/qPp2BPP/2PrRPK1/8 w - - 1 28,e2e3,e2d2,e5e6,e5e6,b3b4,b3b4,b3b4,e2e1,b3b4,e2e1,0.81727666,0.81755775,0.8357039,0.8568368,0.86913884,0.8846668,4,5,5,6,7,7,0,1
131,1531,21,True,6k1/ppp2ppp/8/2q1P3/8/1Pp1RBPP/2Pr1PK1/8 w - - 3 29,g2f1,e5e6,g2f1,e5e6,f3b7,f3b7,f3b7,f3b7,f3b7,f3b7,0.7904467,0.788226,0.80238324,0.8230189,0.8419148,0.85752887,8,8,8,9,9,9,0,0
